City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
111,111,Mao,ES,39.89,4.27,68.0,72,0,5.82,clear sky,0.0,0.0
112,112,Hyeres,FR,43.12,6.12,70.0,68,0,10.29,clear sky,0.0,0.0
113,113,Brae,GB,60.4,-1.35,53.6,87,98,11.41,overcast clouds,0.0,0.0
114,114,Kintampo,GH,8.06,-1.73,82.04,70,100,4.56,overcast clouds,0.0,0.0
115,115,Northam,GB,51.03,-4.22,63.0,54,0,1.01,clear sky,0.0,0.0
116,116,Yulara,AU,-25.24,130.99,51.8,53,0,3.36,clear sky,0.0,0.0
117,117,Avera,US,33.19,-82.53,86.0,66,75,5.82,broken clouds,0.0,0.0
118,118,Kodiak,US,57.79,-152.41,57.2,41,75,13.87,broken clouds,0.0,0.0
119,119,Airai,TL,-8.93,125.41,57.36,100,99,2.13,overcast clouds,0.0,0.0
120,120,Ambulu,ID,-8.35,113.61,74.61,93,100,1.34,moderate rain,0.0,0.0
121,121,Cayenne,GF,4.93,-52.33,77.0,100,100,3.36,mist,0.0,0.0
122,122,Cabo San Lucas,MX,22.89,-109.91,84.0,48,5,11.41,clear sky,0.0,0.0
123,123,Chokurdakh,RU,70.63,147.92,49.64,47,98,14.29,overcast clouds,0.0,0.0
124,124,Bubaque,GW,11.28,-15.83,78.82,81,28,15.43,scattered clouds,0.0,0.0
125,125,Lorengau,PG,-2.02,147.27,80.82,80,97,6.17,overcast clouds,0.0,0.0
126,126,Provideniya,RU,64.38,-173.3,32.88,96,100,7.9,snow,0.0,0.0
127,127,Alexandria,EG,31.22,29.96,69.8,64,40,11.41,scattered clouds,0.0,0.0
128,128,Umm Kaddadah,SD,13.6,26.69,93.58,10,0,6.87,clear sky,0.0,0.0
129,129,Tiznit,MA,29.58,-9.5,75.47,51,0,5.86,clear sky,0.0,0.0
130,130,Ust-Ishim,RU,57.69,71.17,60.08,85,9,6.82,clear sky,0.0,0.0
131,131,Viedma,AR,-40.81,-63.0,58.44,45,100,6.29,overcast clouds,0.0,0.0
132,132,Ambilobe,MG,-13.2,49.05,71.53,88,5,3.02,clear sky,0.0,0.0
133,133,Vao,NC,-22.67,167.48,73.45,81,20,10.31,few clouds,0.0,0.0
134,134,Crib Point,AU,-38.35,145.2,48.0,94,0,5.01,clear sky,0.0,0.0
135,135,Port Blair,IN,11.67,92.75,84.2,80,100,8.75,light rain,0.0,0.0
136,136,Kapaa,US,22.08,-159.32,78.8,74,20,10.29,few clouds,0.0,0.0
137,137,Ushtobe,KZ,45.25,77.98,59.81,35,0,13.85,clear sky,0.0,0.0
138,138,Korla,CN,41.76,86.15,68.0,94,9,3.87,clear sky,0.0,0.0
139,139,Fortuna,US,40.6,-124.16,61.0,93,90,5.82,overcast clouds,0.0,0.0
