City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
426,Pochutla,MX,15.74,-96.47,91.0,55,20,11.41,few clouds,0.0,0.0
427,Amahai,ID,-3.33,128.92,84.0,94,63,2.8,light rain,0.0,0.0
428,Valle De Allende,MX,26.93,-105.4,89.89,11,0,7.85,clear sky,0.0,0.0
429,Pinawa,CA,50.15,-95.88,51.21,75,88,11.81,overcast clouds,0.0,0.0
430,Sola,VU,-13.88,167.55,80.73,84,60,19.44,light rain,0.0,0.0
431,Svetlyy,RU,54.67,20.13,55.4,62,46,20.13,scattered clouds,0.0,0.0
432,Robertsport,LR,6.75,-11.37,81.75,83,100,11.52,light rain,0.0,0.0
433,Haines Junction,CA,60.75,-137.51,62.01,31,0,6.6,clear sky,0.0,0.0
434,Kemijarvi,FI,66.71,27.43,53.06,47,97,2.66,overcast clouds,0.0,0.0
435,Aswan,EG,24.09,32.91,88.25,12,0,20.27,clear sky,0.0,0.0
436,Ranong,TH,9.97,98.63,81.7,81,94,5.84,overcast clouds,0.0,0.0
437,George,ZA,-33.96,22.46,68.0,56,100,12.75,overcast clouds,0.0,0.0
438,Mayo,US,38.89,-76.51,77.0,88,90,12.75,heavy intensity rain,0.0,0.0
439,The Valley,AI,18.22,-63.06,87.8,62,20,9.17,few clouds,0.0,0.0
440,Fort-Shevchenko,KZ,44.51,50.26,75.81,44,49,18.7,scattered clouds,0.0,0.0
441,Pombas,CV,17.15,-25.02,84.2,51,20,20.8,few clouds,0.0,0.0
442,Saravan,AM,39.72,45.65,78.8,29,40,4.7,scattered clouds,0.0,0.0
443,Ransang,PH,8.96,117.58,80.82,78,95,3.51,overcast clouds,0.0,0.0
444,Smirnykh,RU,49.75,142.83,36.12,93,89,0.67,overcast clouds,0.0,0.0
445,Lermontovka,RU,47.15,134.34,54.75,80,1,3.2,clear sky,0.0,0.0
