City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Rio Gallegos,AR,2020-05-27 12:16:07,-51.62,-69.22,33.8,86,65,9.17
223,Shiraz,IR,2020-05-27 12:15:54,29.6,52.54,95.0,6,40,5.84
224,Xuddur,SO,2020-05-27 12:18:05,4.12,43.89,91.22,39,1,16.73
225,Coahuayana,MX,2020-05-27 12:18:05,18.73,-103.68,64.4,42,5,2.04
226,Byron Bay,AU,2020-05-27 12:18:05,-28.65,153.62,62.01,93,20,5.82
227,Yumen,CN,2020-05-27 12:18:06,40.28,97.2,73.29,19,0,17.07
228,Suclayin,PH,2020-05-27 12:18:06,15.76,121.55,81.3,81,68,0.87
229,Hutchinson,US,2020-05-27 12:18:06,38.06,-97.93,55.99,93,1,4.7
230,Hohhot,CN,2020-05-27 12:18:06,40.81,111.65,69.8,30,20,8.95
231,Hasaki,JP,2020-05-27 12:18:06,35.73,140.83,68.0,88,75,9.17
232,Fare,PF,2020-05-27 12:18:06,-16.7,-151.02,80.46,80,77,9.6
233,Kisangani,CD,2020-05-27 12:18:06,0.52,25.2,87.8,35,75,9.17
234,Srednekolymsk,RU,2020-05-27 12:18:06,67.45,153.68,52.18,42,34,12.48
235,Kaabong,UG,2020-05-27 12:18:07,3.48,34.15,76.12,64,49,5.08
236,Campbell River,CA,2020-05-27 12:18:07,50.02,-125.24,48.2,70,20,3.36
237,Talaya,RU,2020-05-27 12:18:07,61.38,152.75,32.76,87,30,4.43
238,Nara,JP,2020-05-27 12:15:01,34.69,135.8,73.0,60,75,9.17
239,Broken Hill,AU,2020-05-27 12:18:07,-31.95,141.43,55.4,50,2,6.93
240,San Quintin,MX,2020-05-27 12:18:07,30.48,-115.95,62.38,86,0,3.51
241,Kahului,US,2020-05-27 12:18:07,20.89,-156.47,78.8,57,90,16.11
242,Surt,LY,2020-05-27 12:18:07,31.21,16.59,74.35,54,0,16.6
243,Pevek,RU,2020-05-27 12:18:07,69.7,170.31,35.22,84,11,12.15
244,Bajil,YE,2020-05-27 12:18:07,15.06,43.29,98.62,44,0,16.35
245,Kalisz,PL,2020-05-27 12:18:08,51.76,18.09,66.99,52,34,3.0
246,Lethem,GY,2020-05-27 12:18:08,3.38,-59.8,74.12,91,99,8.68
247,Kavaratti,IN,2020-05-27 12:18:08,10.57,72.64,85.24,76,34,13.89
248,Berlevag,NO,2020-05-27 12:18:08,70.86,29.09,48.2,89,100,4.7
249,Lebu,CL,2020-05-27 12:18:08,-37.62,-73.65,53.83,79,16,16.28
250,Bambanglipuro,ID,2020-05-27 12:18:08,-7.95,110.28,80.37,87,100,13.13
251,Ryotsu,JP,2020-05-27 12:18:08,38.08,138.43,59.0,82,52,2.24
252,Souillac,MU,2020-05-27 12:18:08,-20.52,57.52,78.8,74,40,11.41
253,Palmer,US,2020-05-27 12:18:08,42.16,-72.33,68.0,100,90,5.82
254,Raudeberg,NO,2020-05-27 12:18:09,61.99,5.14,50.0,81,40,16.11
255,Kruisfontein,ZA,2020-05-27 12:18:09,-34.0,24.73,56.28,53,97,16.58
